,HD1,HD2,HD3,HD4,T3,T12,T17
CD31,7.922386,9.7949,8.604385,8.339946,6.60232,5.027308,7.468723
CD38,23.5806,31.82531,31.67782,28.87551,42.17412,20.25214,23.89654
CD4,3.883912,3.697708,4.116826,3.710516,3.260304,3.320244,4.198579
IgD,159.1056,144.7514,174.9006,150.6631,73.62965,32.88046,54.36199
CCR6,48.53513,36.76622,38.97768,46.08519,19.15047,14.36399,5.46489
CCR7,33.90455,52.76238,40.37648,50.15977,21.09706,35.51465,18.62562
CXCR5,72.23418,74.58196,75.00333,59.94845,18.91313,14.53741,13.26659
CD73,60.79941,59.3428,31.2826,52.2383,77.24666,91.93514,88.02334
CD39,42.68483,64.83139,58.19262,38.21561,114.7554,73.78828,67.23032
CD27,12.67458,25.10585,12.0841,13.30803,48.62152,39.16571,16.78126
CD95,7.825396,10.28511,6.906579,7.184845,34.04308,33.57284,15.81646
CD19,265.7429,336.6821,317.1701,280.5567,445.5613,342.6188,328.2086
